ATF3.logFC	ATF3.PValue	ATF3.FDR	ATF4.logFC	ATF4.PValue	ATF4.FDR	CEBPG.logFC	CEBPG.PValue	CEBPG.FDR	CHOP.logFC	CHOP.PValue	CHOP.FDR
1700007B14Rik	0.540826129475966	0.943603424464068	0.985342193373222	3.59640553521094	0.412860597177481	0.704652780889802	0.273332907914707	0.803805965890263	0.901789923679537	-6.11397997967069	0.144611565179314	0.446810128004411
Exph5	0.603791441854914	0.969991300977365	0.99323053759961	-4.91212074678914	0.423267640393639	0.712152319204131	0.411304558906797	0.940619647987617	0.978560320045523	2.33339754551518	0.831206950868508	0.949308844976696
Tmc1	-1.69683246231839	0.792386504558532	0.930427056784378	1.81131289724795	0.79593767362814	0.932518405519439	-1.67188851589408	0.751785912570821	0.86949875583098	0.749037272896841	0.925352067403407	0.97920047337135
Ntsr2	-0.383305907828285	0.864676382705568	0.957781242647121	1.75504730599341	0.619387649670468	0.841666307165051	2.08255994063684	0.216322626619372	0.408110868842813	-1.00601215920219	0.72431928398634	0.904213383564475
Fbln2	-8.05194435590957	0.125508476489171	0.415044468761329	-13.7823827252891	0.176039071569621	0.470734331324858	-2.4364528796938	0.299129847295529	0.502714534521234	-10.3087708942717	0.0806796500123356	0.332599328642946
Mapk15	-2.23150788949714	0.606207350056515	0.847443002528602	-14.205514963022	0.0942794632689314	0.339191841342042	-9.69429064307985	0.0051375599775817	0.027960622411409	-1.81836212090726	0.672886625761116	0.880913707569451
Omp	1.3776894470944	0.838914946762035	0.948757472263313	-6.44212431484855	0.378288007597785	0.677138703609785	-4.37656203283683	0.113418760675748	0.265643173203027	1.42795790186656	0.836773123068445	0.951983335567323
Cd5l	2.01026543058786	0.185865095714365	0.504250854627262	-7.61993118277495	0.987706785119401	1	-6.03988575268589	0.0290384870343688	0.101132001687924	-5.57041229450139	0.205834678454811	0.534297299491495
Tcf24	-4.75454484029155	0.243323830313922	0.574304692666401	-2.27487962708009	0.555648358146245	0.804915676632077	-5.13577028035409	0.0528088962640909	0.156504701233268	-9.1525584504575	0.0946854915425082	0.359884842270925
Hrh1	0.989954492485147	0.787691214364491	0.929060543911766	-2.43437382126749	0.769369381320115	0.921061620630305	3.53907888423894	0.248984476661113	0.44601241890897	-0.571942295468118	0.940532201660203	0.983902692800673
Plin1	1.41036684739672	0.758490233264164	0.917853158928399	-4.40057290255313	0.505728392544041	0.771922836362676	-1.54953273614763	0.647975294459958	0.803648421794506	-2.96195919390595	0.600496476158152	0.846283642238088
Smpx	1.92602289889994	0.589432820620398	0.839816730856933	1.12480632996037	0.802199374582269	0.935206524772075	1.09431457084101	0.645131405943682	0.801609289466427	1.86834951760124	0.631649948653554	0.862580429493825
